Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	First Attempt	Incorrects	Hints	Corrects	Condition	KC (Single-KC)	Opportunity (Single-KC)	Predicted Error Rate (Single-KC)	KC (Unique-step)	Opportunity (Unique-step)	Predicted Error Rate (Unique-step)
2247	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 4atest	Parle plus fort.	1	Opp#1 ANSWER	2006-03-11 23:36:04	2006-03-11 23:36:18		2006-03-11 23:36:18	14	.	14	incorrect	1	0	0	.	Single-KC	163	0.5309	KC353	1	
2248	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 4atest	Jouez avec votre cousin.	1	Opp#1 ANSWER	2006-03-11 23:36:18	2006-03-11 23:36:48	2006-03-11 23:36:48	2006-03-11 23:36:48	30	30	.	correct	0	0	1	.	Single-KC	164	0.5307	KC218	1	
2249	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 4atest	Chante pour nous.	1	Opp#1 ANSWER	2006-03-11 23:36:48	2006-03-11 23:37:02	2006-03-11 23:37:02	2006-03-11 23:37:02	14	14	.	correct	0	0	1	.	Single-KC	165	0.5305	KC279	1	
2250	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 4atest	Il y a quelqu'un à la porte.	1	Opp#1 ANSWER	2006-03-11 23:37:02	2006-03-11 23:37:44		2006-03-11 23:37:44	42	.	42	incorrect	1	0	0	.	Single-KC	166	0.5303	KC258	1	
2251	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 4atest	Sois gentil!	1	Opp#1 ANSWER	2006-03-11 23:37:44	2006-03-11 23:38:19		2006-03-11 23:38:19	35	.	35	incorrect	1	0	0	.	Single-KC	167	0.5301	KC284	1	
2252	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Le film commence à dix-huit heures trente.	1	Opp#1 ANSWER	2006-08-10 19:23:42	2006-08-10 19:23:42		2006-08-10 19:23:57	15	.	15	incorrect	3	0	0	.	Single-KC	168	0.5299	KC164	1	
2253	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	C'est mal.	1	Opp#1 ANSWER	2006-08-10 19:23:57	2006-08-10 19:25:21	2006-08-10 19:25:21	2006-08-10 19:25:21	84	84	.	correct	0	0	1	.	Single-KC	169	0.5297	KC87	1	
2254	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	C'est vrai que tu es plus intelligent que moi.	1	Opp#1 ANSWER	2006-08-10 19:25:21	2006-08-10 19:26:56		2006-08-10 19:27:52	151	.	151	incorrect	3	0	0	.	Single-KC	170	0.5295	KC141	1	
2255	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	D'habitude, Sophie est très ponctuelle.	1	Opp#1 ANSWER	2006-08-10 19:27:52	2006-08-10 19:28:55		2006-08-10 19:29:20	88	.	88	incorrect	3	0	0	.	Single-KC	171	0.5293	KC131	1	
2256	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Elle fait du surf.	1	Opp#1 ANSWER	2006-08-10 19:29:20	2006-08-10 19:30:18		2006-08-10 19:30:22	62	.	62	incorrect	2	0	0	.	Single-KC	172	0.5291	KC123	1	
2257	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Elles préfèrent danser.	1	Opp#1 ANSWER	2006-08-10 19:30:22	2006-08-10 19:30:59		2006-08-10 19:31:43	81	.	81	incorrect	3	0	0	.	Single-KC	173	0.5289	KC277	1	
2258	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Et je fais mes devoirs, moi.	1	Opp#1 ANSWER	2006-08-10 19:31:43	2006-08-10 19:32:10		2006-08-10 19:32:21	38	.	38	incorrect	3	0	0	.	Single-KC	174	0.5287	KC316	1	
2259	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Il est dix heures et quart.	1	Opp#1 ANSWER	2006-08-10 19:32:21	2006-08-10 19:33:07		2006-08-10 19:33:16	55	.	55	incorrect	3	0	0	.	Single-KC	175	0.5285	KC67	1	
2260	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Il est dix heures quinze.	1	Opp#1 ANSWER	2006-08-10 19:33:16	2006-08-10 19:33:41	2006-08-10 19:33:41	2006-08-10 19:33:41	25	25	.	correct	0	0	1	.	Single-KC	176	0.5283	KC256	1	
2261	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Il est dix heures.	1	Opp#1 ANSWER	2006-08-10 19:33:41	2006-08-10 19:33:51	2006-08-10 19:33:51	2006-08-10 19:33:51	10	10	.	correct	0	0	1	.	Single-KC	177	0.5281	KC387	1	
2262	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Il faut être à l'heure.	1	Opp#1 ANSWER	2006-08-10 19:33:51	2006-08-10 19:34:20		2006-08-10 19:34:48	57	.	57	incorrect	3	0	0	.	Single-KC	178	0.5279	KC448	1	
2263	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Il faut faire tes devoirs.	1	Opp#1 ANSWER	2006-08-10 19:34:48	2006-08-10 19:35:31		2006-08-10 19:35:50	62	.	62	incorrect	3	0	0	.	Single-KC	179	0.5277	KC140	1	
2264	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Il va être artiste.	1	Opp#1 ANSWER	2006-08-10 19:35:50	2006-08-10 19:36:30		2006-08-10 19:37:30	100	.	100	incorrect	3	0	0	.	Single-KC	180	0.5275	KC21	1	
2265	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Je fais beaucoup de sport.	1	Opp#1 ANSWER	2006-08-10 19:37:30	2006-08-10 19:37:54		2006-08-10 19:38:02	32	.	32	incorrect	2	0	0	.	Single-KC	181	0.5273	KC239	1	
2266	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Je fais ça très bien.	1	Opp#1 ANSWER	2006-08-10 19:38:02	2006-08-10 19:38:55		2006-08-10 19:39:17	75	.	75	incorrect	3	0	0	.	Single-KC	182	0.5271	KC176	1	
2267	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Tu n'as pas d'argent.	1	Opp#1 ANSWER	2006-08-10 19:39:17	2006-08-10 19:40:56	2006-08-10 19:40:56	2006-08-10 19:40:56	99	99	.	correct	0	0	1	.	Single-KC	183	0.5269	KC39	1	
2268	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Je ne nage pas, moi.	1	Opp#1 ANSWER	2006-08-10 19:40:56	2006-08-10 19:42:07		2006-08-10 19:42:27	91	.	91	incorrect	3	0	0	.	Single-KC	184	0.5267	KC374	1	
2269	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Je ne suis jamais en avance.	1	Opp#1 ANSWER	2006-08-10 19:42:27	2006-08-10 19:43:04		2006-08-10 19:43:16	49	.	49	incorrect	3	0	0	.	Single-KC	185	0.5265	KC383	1	
2270	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Je préfère visiter les musées le week-end.	1	Opp#1 ANSWER	2006-08-10 19:43:16	2006-08-10 19:44:26		2006-08-10 19:44:41	85	.	85	incorrect	3	0	0	.	Single-KC	186	0.5263	KC319	1	
2271	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Je propose de visiter un musée.	1	Opp#1 ANSWER	2006-08-10 19:44:41	2006-08-10 19:45:47		2006-08-10 19:46:37	116	.	116	incorrect	3	0	0	.	Single-KC	187	0.5261	KC111	1	
2272	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Je reste à Paris jusqu'à jeudi.	1	Opp#1 ANSWER	2006-08-10 19:46:37	2006-08-10 19:47:39		2006-08-10 19:47:57	80	.	80	incorrect	3	0	0	.	Single-KC	188	0.5259	KC64	1	
2273	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Je vais à Montréal demain.	1	Opp#1 ANSWER	2006-08-10 19:47:57	2006-08-10 19:49:16	2006-08-10 19:49:16	2006-08-10 19:49:16	79	79	.	correct	0	0	1	.	Single-KC	189	0.5257	KC80	1	
2274	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Je vais étudier à l'université de Paris.	1	Opp#1 ANSWER	2006-08-10 19:49:16	2006-08-10 19:51:44		2006-08-10 19:51:44	148	.	148	incorrect	1	0	0	.	Single-KC	190	0.5255	KC344	1	
2275	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Je vais Ã©tudier Ã  l'universitÃ© de Paris.	1	Opp#1 ANSWER	2006-08-10 19:51:44	2006-08-10 19:52:19		2006-08-10 19:52:48	64	.	64	incorrect	2	0	0	.	Single-KC	191	0.5253			
2276	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Le film commence à dix-huit heures trente.	2	Opp#2 ANSWER	2006-08-10 19:52:48	2006-08-10 19:53:44	2006-08-10 19:53:44	2006-08-10 19:53:44	56	56	.	correct	0	0	1	.	Single-KC	192	0.5251	KC118	1	
2277	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	C'est vrai que tu es plus intelligent que moi.	2	Opp#2 ANSWER	2006-08-10 19:53:44	2006-08-10 19:54:00	2006-08-10 19:54:00	2006-08-10 19:54:00	16	16	.	correct	0	0	1	.	Single-KC	193	0.5249	KC289	1	
2278	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	D'habitude, Sophie est très ponctuelle.	2	Opp#2 ANSWER	2006-08-10 19:54:00	2006-08-10 19:54:13	2006-08-10 19:54:13	2006-08-10 19:54:13	13	13	.	correct	0	0	1	.	Single-KC	194	0.5247	KC327	1	
2279	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Elle fait du surf.	2	Opp#2 ANSWER	2006-08-10 19:54:13	2006-08-10 19:54:41	2006-08-10 19:54:41	2006-08-10 19:54:41	28	28	.	correct	0	0	1	.	Single-KC	195	0.5245	KC223	1	
2280	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Elles préfèrent danser.	2	Opp#2 ANSWER	2006-08-10 19:54:41	2006-08-10 19:54:51	2006-08-10 19:54:51	2006-08-10 19:54:51	10	10	.	correct	0	0	1	.	Single-KC	196	0.5243	KC395	1	
2281	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Et je fais mes devoirs, moi.	2	Opp#2 ANSWER	2006-08-10 19:54:51	2006-08-10 19:55:03	2006-08-10 19:55:03	2006-08-10 19:55:03	12	12	.	correct	0	0	1	.	Single-KC	197	0.5241	KC412	1	
2282	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Il est dix heures et quart.	2	Opp#2 ANSWER	2006-08-10 19:55:03	2006-08-10 19:55:15	2006-08-10 19:55:15	2006-08-10 19:55:15	12	12	.	correct	0	0	1	.	Single-KC	198	0.5239	KC431	1	
2283	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Il faut être à l'heure.	2	Opp#2 ANSWER	2006-08-10 19:55:15	2006-08-10 19:55:25	2006-08-10 19:55:25	2006-08-10 19:55:25	10	10	.	correct	0	0	1	.	Single-KC	199	0.5237	KC365	1	
2284	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Il faut faire tes devoirs.	2	Opp#2 ANSWER	2006-08-10 19:55:25	2006-08-10 19:55:35	2006-08-10 19:55:35	2006-08-10 19:55:35	10	10	.	correct	0	0	1	.	Single-KC	200	0.5235	KC201	1	
2285	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Il va être artiste.	2	Opp#2 ANSWER	2006-08-10 19:55:35	2006-08-10 19:55:47	2006-08-10 19:55:47	2006-08-10 19:55:47	12	12	.	correct	0	0	1	.	Single-KC	201	0.5233	KC163	1	
2286	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Je fais beaucoup de sport.	2	Opp#2 ANSWER	2006-08-10 19:55:47	2006-08-10 19:55:55	2006-08-10 19:55:55	2006-08-10 19:55:55	8	8	.	correct	0	0	1	.	Single-KC	202	0.5231	KC166	1	
2287	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Je fais ça très bien.	2	Opp#2 ANSWER	2006-08-10 19:55:55	2006-08-10 19:56:03	2006-08-10 19:56:03	2006-08-10 19:56:03	8	8	.	correct	0	0	1	.	Single-KC	203	0.5229	KC435	1	
2288	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Je ne nage pas, moi.	2	Opp#2 ANSWER	2006-08-10 19:56:03	2006-08-10 19:56:12	2006-08-10 19:56:12	2006-08-10 19:56:12	9	9	.	correct	0	0	1	.	Single-KC	204	0.5227	KC227	1	
2289	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Je ne suis jamais en avance.	2	Opp#2 ANSWER	2006-08-10 19:56:12	2006-08-10 19:56:21	2006-08-10 19:56:21	2006-08-10 19:56:21	9	9	.	correct	0	0	1	.	Single-KC	205	0.5225	KC322	1	
2290	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Je préfère visiter les musées le week-end.	2	Opp#2 ANSWER	2006-08-10 19:56:21	2006-08-10 19:56:31	2006-08-10 19:56:31	2006-08-10 19:56:31	10	10	.	correct	0	0	1	.	Single-KC	206	0.5223	KC60	1	
2291	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Je propose de visiter un musée.	2	Opp#2 ANSWER	2006-08-10 19:56:31	2006-08-10 19:56:39	2006-08-10 19:56:39	2006-08-10 19:56:39	8	8	.	correct	0	0	1	.	Single-KC	207	0.5221	KC427	1	
2292	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Je reste à Paris jusqu'à jeudi.	2	Opp#2 ANSWER	2006-08-10 19:56:39	2006-08-10 19:56:47	2006-08-10 19:56:47	2006-08-10 19:56:47	8	8	.	correct	0	0	1	.	Single-KC	208	0.5219	KC83	1	
2293	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3a	Je vais étudier à l'université de Paris.	2	Opp#2 ANSWER	2006-08-10 19:56:47	2006-08-10 19:56:59	2006-08-10 19:56:59	2006-08-10 19:56:59	12	12	.	correct	0	0	1	.	Single-KC	209	0.5217	KC34	1	
2294	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Au revoir, monsieur.	1	Opp#1 ANSWER	2006-11-09 19:12:21	2006-11-09 19:12:21		2006-11-09 19:15:07	166	.	166	incorrect	3	0	0	.	Single-KC	210	0.5215	KC425	1	
2295	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Bonjour, Madame.	1	Opp#1 ANSWER	2006-11-09 19:15:07	2006-11-09 19:15:17	2006-11-09 19:15:17	2006-11-09 19:15:17	10	10	.	correct	0	0	1	.	Single-KC	211	0.5213	KC159	1	
2296	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	C'est moi.	1	Opp#1 ANSWER	2006-11-09 19:15:17	2006-11-09 19:15:24	2006-11-09 19:15:24	2006-11-09 19:15:24	7	7	.	correct	0	0	1	.	Single-KC	212	0.5211	KC263	1	
2297	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Comment allez-vous, Madame?	1	Opp#1 ANSWER	2006-11-09 19:15:24	2006-11-09 19:15:42	2006-11-09 19:15:42	2006-11-09 19:15:42	18	18	.	correct	0	0	1	.	Single-KC	213	0.5209	KC257	1	
2298	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Elles vont à Paris.	1	Opp#1 ANSWER	2006-11-09 19:15:42	2006-11-09 19:16:43		2006-11-09 19:17:50	128	.	128	incorrect	3	0	0	.	Single-KC	214	0.5207	KC300	1	
2299	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Elle va aux Antilles.	1	Opp#1 ANSWER	2006-11-09 19:17:50	2006-11-09 19:18:29		2006-11-09 19:19:11	81	.	81	incorrect	3	0	0	.	Single-KC	215	0.5205	KC358	1	
2300	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Et vous, vous êtes américains?	1	Opp#1 ANSWER	2006-11-09 19:19:11	2006-11-09 19:20:16	2006-11-09 19:20:16	2006-11-09 19:20:16	65	65	.	correct	0	0	1	.	Single-KC	216	0.5203	KC170	1	
2301	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Je vais à la plage.	1	Opp#1 ANSWER	2006-11-09 19:20:16	2006-11-09 19:20:38	2006-11-09 19:20:38	2006-11-09 19:20:38	22	22	.	correct	0	0	1	.	Single-KC	217	0.5201	KC219	1	
2302	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Nous étudions.	1	Opp#1 ANSWER	2006-11-09 19:20:38	2006-11-09 19:21:09		2006-11-09 19:21:38	60	.	60	incorrect	3	0	0	.	Single-KC	218	0.5199	KC270	1	
2303	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Nous sommes étudiants.	1	Opp#1 ANSWER	2006-11-09 19:21:38	2006-11-09 19:21:57		2006-11-09 19:22:12	34	.	34	incorrect	3	0	0	.	Single-KC	219	0.5197	KC252	1	
2304	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Où est-il?	1	Opp#1 ANSWER	2006-11-09 19:22:12	2006-11-09 19:22:36		2006-11-09 19:23:25	73	.	73	incorrect	3	0	0	.	Single-KC	220	0.5195	KC413	1	
2305	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Oui, ça va.	1	Opp#1 ANSWER	2006-11-09 19:23:25	2006-11-09 19:24:27		2006-11-09 19:24:39	74	.	74	incorrect	3	0	0	.	Single-KC	221	0.5193	KC18	1	
2306	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Qu'est-ce que tu étudies?	1	Opp#1 ANSWER	2006-11-09 19:24:39	2006-11-09 19:25:08		2006-11-09 19:25:13	34	.	34	incorrect	2	0	0	.	Single-KC	222	0.5191	KC268	1	
2307	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Quelle est ta musique favorite?	1	Opp#1 ANSWER	2006-11-09 19:25:13	2006-11-09 19:25:37		2006-11-09 19:25:51	38	.	38	incorrect	3	0	0	.	Single-KC	223	0.5189	KC172	1	
2308	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Tu vas bien.	1	Opp#1 ANSWER	2006-11-09 19:25:51	2006-11-09 19:26:03	2006-11-09 19:26:03	2006-11-09 19:26:03	12	12	.	correct	0	0	1	.	Single-KC	224	0.5187	KC28	1	
2309	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Vous êtes de Montréal.	1	Opp#1 ANSWER	2006-11-09 19:26:03	2006-11-09 19:26:06		2006-11-09 19:26:59	56	.	56	incorrect	3	0	0	.	Single-KC	225	0.5185	KC236	1	
2310	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Au revoir, monsieur.	2	Opp#2 ANSWER	2006-11-09 19:26:59	2006-11-09 19:28:34	2006-11-09 19:28:34	2006-11-09 19:28:34	95	95	.	correct	0	0	1	.	Single-KC	226	0.5183			
2311	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Elles vont à Paris.	2	Opp#2 ANSWER	2006-11-09 19:28:34	2006-11-09 19:29:02	2006-11-09 19:29:02	2006-11-09 19:29:02	28	28	.	correct	0	0	1	.	Single-KC	227	0.5181	KC341	1	
2312	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Elle va aux Antilles.	2	Opp#2 ANSWER	2006-11-09 19:29:02	2006-11-09 19:31:05		2006-11-09 19:31:38	156	.	156	incorrect	3	0	0	.	Single-KC	228	0.5179	KC99	1	
2313	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Nous étudions.	2	Opp#2 ANSWER	2006-11-09 19:31:38	2006-11-09 19:32:40	2006-11-09 19:32:40	2006-11-09 19:32:40	62	62	.	correct	0	0	1	.	Single-KC	229	0.5177	KC278	1	
2314	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Nous sommes étudiants.	2	Opp#2 ANSWER	2006-11-09 19:32:40	2006-11-09 19:33:00		2006-11-09 19:33:10	30	.	30	incorrect	3	0	0	.	Single-KC	230	0.5175	KC122	1	
2315	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Où est-il?	2	Opp#2 ANSWER	2006-11-09 19:33:10	2006-11-09 19:33:45		2006-11-09 19:34:22	72	.	72	incorrect	3	0	0	.	Single-KC	231	0.5173	KC43	1	
2316	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Oui, ça va.	2	Opp#2 ANSWER	2006-11-09 19:34:22	2006-11-09 19:42:28		2006-11-09 19:43:16	534	.	534	incorrect	3	0	0	.	Single-KC	232	0.5171			
2317	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Qu'est-ce que tu étudies?	2	Opp#2 ANSWER	2006-11-09 19:43:16	2006-11-09 19:43:57		2006-11-09 19:44:38	82	.	82	incorrect	3	0	0	.	Single-KC	233	0.5169	KC253	1	
2318	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Quelle est ta musique favorite?	2	Opp#2 ANSWER	2006-11-09 19:44:38	2006-11-09 19:45:07		2006-11-09 19:45:16	38	.	38	incorrect	2	0	0	.	Single-KC	234	0.5167	KC151	1	
2319	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Vous êtes de Montréal.	2	Opp#2 ANSWER	2006-11-09 19:45:16	2006-11-09 19:46:16	2006-11-09 19:46:16	2006-11-09 19:46:16	60	60	.	correct	0	0	1	.	Single-KC	235	0.5165	KC325	1	
2320	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Elle va aux Antilles.	3	Opp#3 ANSWER	2006-11-09 19:46:16	2006-11-09 19:46:30		2006-11-09 19:46:38	22	.	22	incorrect	3	0	0	.	Single-KC	236	0.5163	KC41	1	
2321	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Nous sommes étudiants.	3	Opp#3 ANSWER	2006-11-09 19:46:38	2006-11-09 19:46:52	2006-11-09 19:46:52	2006-11-09 19:46:52	14	14	.	correct	0	0	1	.	Single-KC	237	0.5161			
2322	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Où est-il?	3	Opp#3 ANSWER	2006-11-09 19:46:52	2006-11-09 19:47:00		2006-11-09 19:47:34	42	.	42	incorrect	3	0	0	.	Single-KC	238	0.5158	KC238	1	
2323	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Oui, ça va.	3	Opp#3 ANSWER	2006-11-09 19:47:34	2006-11-09 19:47:56	2006-11-09 19:47:56	2006-11-09 19:47:56	22	22	.	correct	0	0	1	.	Single-KC	239	0.5156			
2324	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Qu'est-ce que tu étudies?	3	Opp#3 ANSWER	2006-11-09 19:47:56	2006-11-09 19:48:16		2006-11-09 19:48:23	27	.	27	incorrect	2	0	0	.	Single-KC	240	0.5154	KC144	1	
2325	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Quelle est ta musique favorite?	3	Opp#3 ANSWER	2006-11-09 19:48:23	2006-11-09 19:48:39	2006-11-09 19:48:39	2006-11-09 19:48:39	16	16	.	correct	0	0	1	.	Single-KC	241	0.5152	KC45	1	
2326	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Elle va aux Antilles.	4	Opp#4 ANSWER	2006-11-09 19:48:39	2006-11-09 19:48:53	2006-11-09 19:48:53	2006-11-09 19:48:53	14	14	.	correct	0	0	1	.	Single-KC	242	0.5150			
2327	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Où est-il?	4	Opp#4 ANSWER	2006-11-09 19:48:53	2006-11-09 19:49:08	2006-11-09 19:49:08	2006-11-09 19:49:08	15	15	.	correct	0	0	1	.	Single-KC	243	0.5148			
2328	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L1b	Qu'est-ce que tu étudies?	4	Opp#4 ANSWER	2006-11-09 19:49:08	2006-11-09 19:49:34	2006-11-09 19:49:34	2006-11-09 19:49:34	26	26	.	correct	0	0	1	.	Single-KC	244	0.5146			
2329	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3b	Aïcha, tu te lèves.	1	Opp#1 ANSWER	2007-01-10 19:08:46	2007-01-10 19:08:46		2007-01-10 19:09:41	55	.	55	incorrect	3	0	0	.	Single-KC	245	0.5144	KC71	1	
2330	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3b	C'est mal.	1	Opp#1 ANSWER	2007-01-10 19:09:41	2007-01-10 19:10:08	2007-01-10 19:10:08	2007-01-10 19:10:08	27	27	.	correct	0	0	1	.	Single-KC	246	0.5142	KC447	1	
2331	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3b	D'habitude, tu arrives en avance.	1	Opp#1 ANSWER	2007-01-10 19:10:08	2007-01-10 19:10:33		2007-01-10 19:11:23	75	.	75	incorrect	3	0	0	.	Single-KC	247	0.5140	KC335	1	
2332	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3b	Elle joue au tennis.	1	Opp#1 ANSWER	2007-01-10 19:11:23	2007-01-10 19:11:46	2007-01-10 19:11:46	2007-01-10 19:11:46	23	23	.	correct	0	0	1	.	Single-KC	248	0.5138	KC324	1	
2333	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3b	Aïcha et Estelle partagent un appartement.	1	Opp#1 ANSWER	2007-01-10 19:11:46	2007-01-10 19:12:31		2007-01-10 19:12:51	65	.	65	incorrect	3	0	0	.	Single-KC	249	0.5136	KC124	1	
2334	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3b	Je chante bien, mais Aïcha chante mieux.	1	Opp#1 ANSWER	2007-01-10 19:12:51	2007-01-10 19:14:05		2007-01-10 19:14:46	115	.	115	incorrect	2	0	0	.	Single-KC	250	0.5134	KC62	1	
2335	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3b	Elle joue aux échecs.	1	Opp#1 ANSWER	2007-01-10 19:14:46	2007-01-10 19:17:16		2007-01-10 19:17:33	167	.	167	incorrect	3	0	0	.	Single-KC	251	0.5132	KC409	1	
2336	All Data	Stu_5b5e985bc0a8c1eca640e5319cd6f8b5	 L3b	Elle rend visite à sa grand-mère.	1	Opp#1 ANSWER	2007-01-10 19:17:33	2007-01-10 19:18:39		2007-01-10 19:18:49	76	.	76	incorrect	3	0	0	.	Single-KC	252	0.5130	KC275	1	
